n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_one_step_gap,bfgs_minus_one_step_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_one_step_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_one_step,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_one_step,lambda_min_upsilon_one_step,feasibility_slack_upsilon_one_step,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,theta_norm_inf_upsilon_bfgs,gamma_min_upsilon_one_step,gamma_max_upsilon_one_step,theta_norm_upsilon_one_step,theta_norm_inf_upsilon_one_step,one_step_cache_size,one_step_num_evals,one_step_subproblem_status,one_step_subproblem_primal_status,one_step_subproblem_acceptable_status,one_step_subproblem_residual_norm_inf
63,19,14,2.9463860265911244,1.9191764994941352,1.3406334942009082,1.3232756859566237,0.017357808244284456,5.357269570348365,0.043142,0.0283234,23.0953075,12.1926114,0.8686093,0.0001517,-25.104418166088916,-22.15803213949779,-23.18524166659478,-23.763784671888008,-23.781142480132292,-19.74714859574055,0.031745640422217065,0.04730395308647749,0.04730405308647749,1.0000000000287557e-7,0.04698392420877749,0.046984024208777495,1.0000000000287557e-7,0.8194452623712823,1.539672527277617,1.4432982038002555,0.43156974918853996,0.811203365137112,1.5388235478793395,1.4267803822596237,0.43101819453388157,216,216,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8757977571381879
63,20,15,3.0041028664921825,1.9412506377909402,1.3677341901629134,1.3387698706206983,0.028964319542215122,5.414544896598763,0.0468458,0.0223255,21.6767293,13.3878877,1.0018675,0.0001758,-27.25583443871075,-24.251731572218567,-25.31458380091981,-25.888100248547836,-25.91706456809005,-21.841289542111987,0.031745640422217065,0.04649219499623673,0.046492294996236735,1.0000000000287557e-7,0.046829438235837795,0.0468295382358378,1.0000000000287557e-7,0.8369299605060312,1.540519731657642,1.3716201864103847,0.43211984757862026,0.779874068477502,1.5100546860432897,1.3939729698714813,0.4121458660937607,230,230,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8279289940905675
63,21,16,3.063034379315905,1.9548155161808474,1.4055738473219073,1.3602933950245522,0.04528045229735511,5.435251932082185,0.0396914,0.0226748,20.1159904,13.1333425,0.8359501,0.0001504,-29.427830707791703,-26.364796328475798,-27.473015191610855,-28.022256860469795,-28.06753731276715,-23.992578775709518,0.031745640422217065,0.04717043045780686,0.047170530457806864,1.0000000000287557e-7,0.046977931855424676,0.04697803185542468,1.0000000000287557e-7,0.8006233949998189,1.595701628157804,1.3842075173604094,0.46731353177451745,0.8068124910021109,1.515102964680897,1.3582219186436748,0.4154834001376599,243,243,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8191438635653929
63,22,17,3.128278869641477,1.9772105878894308,1.4140266606671048,1.3922356967393306,0.021790963927774243,5.4453576644352495,0.0465106,0.0203604,20.2367195,11.677615,0.8000983,0.0001528,-31.635714472852996,-28.50743560321152,-29.658503884963565,-30.22168781218589,-30.243478776113665,-26.190356808417746,0.031745640422217065,0.04616222368681251,0.046162323686812515,1.0000000000287557e-7,0.046143380336201426,0.04614348033620143,1.0000000000287557e-7,0.815845433804764,1.5197096289361212,1.2972318111369068,0.4185192830142866,0.83638394302828,1.477050654859712,1.2880873669976216,0.3900472987361812,230,230,SLOW_PROGRESS,FEASIBLE_POINT,true,0.9440285785396945
63,23,18,3.1996775047979717,2.0075446695668546,1.4589426673527726,1.429793009161969,0.029149658190803507,5.426331385096013,0.03379,0.0204102,18.6458637,12.1191106,0.997179,0.0001681,-33.878314021137925,-30.678636516339953,-31.87076935157107,-32.41937135378515,-32.448521011975956,-28.45198263604191,0.031745640422217065,0.04658305658734485,0.046583156587344854,1.0000000000287557e-7,0.04596717573202669,0.04596727573202669,1.0000000000287557e-7,0.7929862313889026,1.5450821841368128,1.347681830265958,0.4350771025510386,0.8181782285873134,1.5108915886384777,1.2760026728220275,0.41269993262821847,241,241,SLOW_PROGRESS,FEASIBLE_POINT,true,0.844539993711108
63,24,19,3.0940396295429764,1.8626572826687493,1.3385952806417336,1.2997809746806936,0.03881430596103996,5.242790417976238,0.0547271,0.0225109,18.3506956,10.9066321,1.0099361,0.0001512,-35.975395128802305,-32.88135549925933,-34.112737846133555,-34.63679984816057,-34.67561415412161,-30.732604710826067,0.031745640422217065,0.045813514592268414,0.04581361459226842,1.0000000000287557e-7,0.0459687199977956,0.045968819997795604,1.0000000000287557e-7,0.8594009345969871,1.4954899540959767,1.2255906986298468,0.40245388164369,0.8192412434145049,1.476080651336723,1.2458442174081052,0.38939036651251857,233,233,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8872785670952774
63,25,20,3.111603231786269,1.8438956150860406,1.3301843051353472,1.291384098096863,0.0388002070384843,5.189370103740934,0.0332747,0.0198247,18.6790482,12.7460896,1.0638014,0.0001512,-38.22133206551067,-35.109728833724404,-36.37743645042463,-36.891147760375326,-36.92994796741381,-33.03196196176974,0.031745640422217065,0.045390645133650986,0.04539074513365099,1.0000000000287557e-7,0.04535058261718724,0.04535068261718724,1.0000000000287557e-7,0.8440989277267966,1.4793118516507515,1.2175800863895438,0.3915770145453887,0.8514919693433226,1.4600775815667417,1.1685356587607483,0.3784895723678805,264,264,SLOW_PROGRESS,FEASIBLE_POINT,true,0.9068277622661657
63,26,21,3.109990485573263,1.807992111804701,1.2843924597979708,1.2606997483129092,0.02369271148506158,5.1035996952986835,0.0336642,0.0241641,21.0253421,10.6780148,1.4808657,0.0001504,-40.468773339333644,-37.35878285376038,-38.66078122752894,-39.184380879535674,-39.208073591020735,-35.36517364403496,0.031745640422217065,0.04531204359116636,0.045312143591166365,1.0000000000287557e-7,0.04513558795074153,0.045135687950741535,1.0000000000287557e-7,0.8434925876668548,1.549331699195716,1.1663141626459281,0.43782367614496054,0.8188690975672454,1.4927803120531942,1.1452415741478748,0.4006403624208062,236,236,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8760337581074905
63,27,22,3.129310584565708,1.7919355158680759,1.2694045633692852,1.2422633934974314,0.027141169871853776,4.999195357034495,0.038938,0.0212424,20.253165,13.2427668,1.7557942,0.000154,-42.75231165225154,-39.623001067685834,-40.960376136383466,-41.48290708888226,-41.51004825875411,-37.75311629521705,0.031745640422217065,0.04508838287908455,0.045088482879084554,1.0000000000287557e-7,0.04473754563680226,0.04473764563680226,1.0000000000287557e-7,0.8877417684850527,1.4876589553139479,1.1535822705238334,0.39720371344370736,0.7992894588826486,1.4548177929208084,1.1489994049334722,0.3748806645486245,267,267,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8872998294001063
63,28,23,3.159573664239403,1.7793275021010615,1.2734555079762515,1.2344606064350927,0.03899490154115881,4.898861094522616,0.0289881,0.0224014,19.3738961,12.6024134,1.6983472,0.0001545,-45.06299660447394,-41.903422940234535,-43.283669102372876,-43.789541096497686,-43.828535998038845,-40.16413550995132,0.031745640422217065,0.04473081734650326,0.044730917346503266,1.0000000000287557e-7,0.04443972015330736,0.044439820153307365,1.0000000000287557e-7,0.8350290733096994,1.4583736247579402,1.1328626864765357,0.37732185916525546,0.770940387425234,1.4299943704833624,1.0676282101246959,0.35767050753914564,261,261,SLOW_PROGRESS,FEASIBLE_POINT,true,0.8975801699216133
