n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_levenberg_gap,ddgfact_plus_upsilon_regbfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_levenberg_runtime,ddgfact_plus_upsilon_regbfgs_runtime,local_search_runtime,spectral_runtime,vf_ddgfact_runtime,vf_ddgfact_plus_runtime,vf_ddgfact_plus_upsilon_bfgs_runtime,vf_ddgfact_plus_upsilon_levenberg_runtime,vf_ddgfact_plus_upsilon_regbfgs_runtime,n_fixed_ddgfact_dual,n_fixed_ddgfact_plus_dual,n_fixed_ddgfact_plus_primal,n_fixed_ddgfact_plus_union,n_fixed_ddgfact_plus_upsilon_bfgs_dual,n_fixed_ddgfact_plus_upsilon_bfgs_primal,n_fixed_ddgfact_plus_upsilon_bfgs_union,n_fixed_ddgfact_plus_upsilon_levenberg_dual,n_fixed_ddgfact_plus_upsilon_levenberg_primal,n_fixed_ddgfact_plus_upsilon_levenberg_union,n_fixed_ddgfact_plus_upsilon_regbfgs_dual,n_fixed_ddgfact_plus_upsilon_regbfgs_primal,n_fixed_ddgfact_plus_upsilon_regbfgs_union,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_levenberg,z_ddgfact_plus_upsilon_regbfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_levenberg,lambda_min_upsilon_levenberg,feasibility_slack_upsilon_levenberg,psi_upsilon_regbfgs,lambda_min_upsilon_regbfgs,feasibility_slack_upsilon_regbfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,theta_norm_inf_upsilon_bfgs,gamma_min_upsilon_levenberg,gamma_max_upsilon_levenberg,theta_norm_upsilon_levenberg,theta_norm_inf_upsilon_levenberg,gamma_min_upsilon_regbfgs,gamma_max_upsilon_regbfgs,theta_norm_upsilon_regbfgs,theta_norm_inf_upsilon_regbfgs,levenberg_num_evals,levenberg_cache_size,levenberg_final_lambda,levenberg_final_B_norm,regbfgs_num_evals,regbfgs_cache_size,regbfgs_final_mu,regbfgs_final_H_norm,regbfgs_final_H_min_eig,regbfgs_final_H_max_eig,regbfgs_final_B_norm,regbfgs_final_B_min_eig,regbfgs_final_B_max_eig
63,36,35,1.0416398037187804,0.43961052295328784,0.33265550276557576,0.33147672336673395,0.3321744687529815,4.750129500843627,0.0483289,0.0627271,39.7222792,32.1694741,14.3680636,4.20398,0.0003156,0.0012845,0.0044671,0.6290163,0.6396704,0.6275149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-75.34398808524814,-74.30234828152936,-74.90437756229485,-75.01133258248257,-75.01251136188141,-75.01181361649516,-70.59385858440451,0.031745640422217065,0.03969850924692932,0.03969860924692932,1.0000000000287557e-7,0.039576026017520194,0.0395761260175202,1.0000000000287557e-7,0.039957610570917235,0.03995771057091724,1.0000000000287557e-7,0.9059006431365105,1.3272397954608537,0.6754546951112346,0.28310144396902354,0.8805330178593734,1.3071428713763837,0.6804345583446185,0.26784374112115333,0.8483101043964548,1.2928836588154913,0.7624151826879261,0.2568751180272458,341.0,341.0,1.0e-10,8101.40134459443,151.0,151.0,1.0000000000000002e-10,3.0349380823944987,0.000584069943516378,3.0349380823944987,1712.123712409283,0.3294960136081354,1712.1237124092836
63,37,36,1.0644373631269985,0.4455326169106826,0.33740323798137695,0.33613182037997547,0.3360678181525856,4.606975944906111,0.0430723,0.059652,29.5617187,34.7095401,17.8582689,3.7447499,0.0002066,0.0013814,0.0040792,0.6085344,0.610464,0.6596048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.89880737548363,-76.83437001235663,-77.45327475857295,-77.56140413750225,-77.56267555510365,-77.56273955733104,-73.29183143057752,0.031745640422217065,0.04012757668992162,0.04012767668992162,1.0000000000287557e-7,0.03979695400395113,0.03979705400395113,1.0000000000287557e-7,0.03987774770032326,0.039877847700323266,1.0000000000287557e-7,0.8139475136059376,1.3323794254401995,0.751415049961369,0.286966385489102,0.8460294335930643,1.311069502509461,0.6861920429419502,0.2708432182576821,0.873784388116442,1.3782912500168156,0.7339704284338558,0.32084450731010217,353.0,353.0,1.0e-10,19915.895514246167,188.0,188.0,1.0e-10,1.2477712337466176,0.0027518343725054326,1.2477712337466176,363.3939636742258,0.8014289581533107,363.3939636742257
63,38,37,1.0930573679514026,0.45506455519451094,0.3455673932951129,0.34505544505802277,0.3452486966125008,4.46381334011366,0.0386266,0.0611028,38.3218927,34.1925318,19.4097193,5.44797,0.0002281,0.0019394,0.0076864,0.6471133,0.712212,0.6376892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.47751965899907,-79.38446229104767,-80.02245510380456,-80.13195226570396,-80.13246421394105,-80.13227096238657,-76.01370631888541,0.031745640422217065,0.040152574230291005,0.04015267423029101,1.0000000000287557e-7,0.0401132656456296,0.0401133656456296,1.0000000000287557e-7,0.04003707118805459,0.040037171188054596,1.0000000000287557e-7,0.8937720937622263,1.3377502202765748,0.6833813791927764,0.29098926287125165,0.8961870141401027,1.3069831527585443,0.6655532750755383,0.26772154455024305,0.864047604941045,1.3083335893215748,0.7606764611567763,0.2687542582260453,336.0,336.0,1.0e-10,8928.79852648166,211.0,211.0,1.0e-10,1.4270250583087765,0.004265682372599926,1.4270250583087765,234.4290813640856,0.7007585424200167,234.42908136408553
63,39,38,1.1132203151792055,0.45449377106699274,0.3447118994459686,0.34454991150560943,0.3457235076485716,4.2823920676958664,0.0386888,0.0305357,37.7190041,28.995077,17.9545359,5.383147,0.0002013,0.0013686,0.0059145,0.7681329,0.6274959,0.672808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.06710132385952,-81.95388100868031,-82.61260755279253,-82.72238942441355,-82.72255141235391,-82.72137781621095,-78.78470925616365,0.031745640422217065,0.040230093495584096,0.0402301934955841,1.0000000000287557e-7,0.04015909159901349,0.040159191599013495,1.0000000000287557e-7,0.04002511458985153,0.04002521458985153,1.0000000000287557e-7,0.8780327517297387,1.3020017401526554,0.7065955581097407,0.2639028803082611,0.8840357948371089,1.3155427748900714,0.7076104491731319,0.27424933703956406,0.8834907577124568,1.3417655361694645,0.7409605268304937,0.2939863110422082,289.0,289.0,1.0e-10,14324.644617746193,199.0,199.0,1.0e-10,2.432586869107038,0.004777966285496776,2.432586869107038,209.2940678620863,0.4110850109635857,209.29406786208622
63,40,39,1.1179658475840313,0.436681433336247,0.33006236788251897,0.3295452565773047,0.33006978577869006,4.101041918162622,0.0681718,0.0303599,25.2611429,29.6802552,16.1311672,4.575552,0.0006754,0.0019194,0.0050631,0.735478,0.7002222,0.6824809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.66138783530178,-84.54342198771775,-85.22470640196553,-85.33132546741926,-85.33184257872448,-85.33131804952309,-81.56034591713916,0.031745640422217065,0.040374753487460904,0.04037485348746091,1.0000000000287557e-7,0.039950857326841824,0.03995095732684183,1.0000000000287557e-7,0.04028195076411731,0.04028205076411731,1.0000000000287557e-7,0.8678512730522808,1.307200814637615,0.7443734362861469,0.2678880683161972,0.8765710092261788,1.2831177030672523,0.7137375093980114,0.24929282193008004,0.8752735512803692,1.3172761727391218,0.7653831463610618,0.2755660991367583,303.0,303.0,1.0e-10,110893.48259559607,182.0,182.0,1.0e-10,1.2329704172220033,0.0032212655816144355,1.2329704172220033,310.43699274820335,0.811049467131414,310.43699274820347
63,41,40,1.1252284685806018,0.4211748767314276,0.3192507737770285,0.3191487145361691,0.3197543850365747,3.9309977573779094,0.0433556,0.0595283,22.9671614,24.7640166,17.7217752,4.7500168,0.0003133,0.0018962,0.0070383,0.8122744,0.8184355,0.7690682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.27920361469045,-87.15397514610984,-87.85802873795902,-87.95995284091342,-87.96005490015428,-87.95944922965387,-84.34820585731254,0.031745640422217065,0.040363485289357875,0.04036358528935788,1.0000000000287557e-7,0.0400363117723036,0.040036411772303604,1.0000000000287557e-7,0.03940717948390446,0.03940727948390446,1.0000000000287557e-7,0.8677029539404395,1.3174932142250122,0.7386280336705843,0.27573085092676713,0.875398114925154,1.3095111220040163,0.6872457670997892,0.26965387825068887,0.8907915263886178,1.32405234368964,0.6951799534743122,0.28069699124214004,253.0,253.0,1.0e-10,45782.937404055985,208.0,208.0,1.0e-10,1.349188346165393,0.004498506965652731,1.349188346165393,222.2959767840329,0.741186360456818,222.295976784033
63,42,41,1.1368941914730044,0.41181628376283186,0.3162869934027981,0.31627073832085273,0.3162768793069688,3.774082597074141,0.07481,0.0288401,22.5250269,25.2085332,15.2732844,5.0362585,0.0003445,0.0019124,0.0076929,0.7161663,0.6283049,0.6342359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.92459538580492,-89.78770119433192,-90.51277910204209,-90.60830839240212,-90.60832464748407,-90.60831850649795,-87.15051278873078,0.031745640422217065,0.03944497067176435,0.03944507067176435,1.0000000000287557e-7,0.0394211427168174,0.039421242716817406,1.0000000000287557e-7,0.03956016435355132,0.039560264353551325,1.0000000000287557e-7,0.8792281225266392,1.27110962804035,0.6370148748264159,0.2398902418632788,0.8806682109951701,1.2908519214268563,0.6600951984816137,0.25530240460954856,0.8659023297075132,1.3262250355965952,0.7293243873726843,0.28233658746755325,256.0,256.0,1.0e-10,29114.743439954447,164.0,164.0,1.0e-10,2.1511889368521646,4.705074730770002e-5,2.1511889368521646,21253.64754485721,0.46485921466674207,21253.647544857206
63,43,42,1.1367462286715835,0.3920283481194815,0.302558258439106,0.3029474811541917,0.3030346353594524,3.602542530856951,0.0418957,0.0282805,22.7582895,15.4794751,16.5633092,4.8440678,0.0002631,0.0013885,0.0024469,0.5805225,0.7515752,0.6420646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.58083582851957,-92.44408959984798,-93.18880748040009,-93.27827757008046,-93.27788834736538,-93.27780119316012,-89.97829329766262,0.031745640422217065,0.037737199378147526,0.03773729937814753,1.0000000000287557e-7,0.03905287639135413,0.03905297639135413,1.0000000000287557e-7,0.03833541698266585,0.03833551698266585,1.0000000000287557e-7,0.8816264876348933,1.2005203212846653,0.526685805315134,0.1827550638867299,0.8610747589870357,1.2765830040076156,0.6470627748450016,0.2441869802682052,0.8795863541385789,1.2478253594727498,0.6156421046271051,0.22140232383532357,173.0,173.0,1.0e-10,50379.64596211531,198.0,198.0,1.0000000000000002e-10,2.3414579494571415,0.009792088270908378,2.3414579494571415,102.12326240664639,0.42708433008489455,102.1232624066464
63,44,43,1.1710401816838925,0.40763807992158263,0.3215394846351529,0.3212556336191028,0.32143458439136907,3.4772325858381237,0.0353367,0.0287845,20.6915639,15.5152408,15.6814168,3.6265878,0.0007115,0.0019342,0.0083956,0.7758711,0.6496048,0.6836792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.29443007035896,-95.12338988867506,-95.88679199043737,-95.9728905857238,-95.97317443673985,-95.97299548596759,-92.81719748452083,0.031745640422217065,0.04041857571038682,0.04041867571038682,1.0000000000287557e-7,0.04021990744463376,0.04022000744463376,1.0000000000287557e-7,0.040114632449327586,0.04011473244932759,1.0000000000287557e-7,0.8094448382069473,1.317271165311716,0.7516393971596406,0.2755622977798167,0.8082438797156165,1.3118265128261848,0.7543961679087493,0.2714204507009945,0.812570349783003,1.3099165958851384,0.7777294502174108,0.2699634679229608,169.0,169.0,1.0e-10,23514.288083701213,174.0,174.0,1.0e-10,1.6258782406207057,0.0028945935698756614,1.6258782406207057,345.4716442428445,0.6150522067726583,345.4716442428448
63,45,44,1.2010721735950511,0.4227476553356553,0.3364482505201494,0.3360027669002221,0.3359487436089239,3.3402971080502937,0.0397616,0.0289246,15.9352421,12.8735703,11.9223475,3.815729,0.0007214,0.0019502,0.0079952,0.7456128,0.6746971,0.7519164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.02804743510558,-97.82697526151053,-98.60529977976992,-98.69159918458543,-98.69204466820536,-98.69209869149665,-95.68775032705528,0.031745640422217065,0.03970556396297542,0.039705663962975424,1.0000000000287557e-7,0.040012147751638596,0.0400122477516386,1.0000000000287557e-7,0.039925380310802394,0.0399254803108024,1.0000000000287557e-7,0.8110818253940683,1.2906479857712603,0.7304674061420041,0.25514440680722317,0.8150808575966773,1.3015258020402602,0.7745054611138659,0.26353727010442535,0.8146577366238825,1.2988164342907393,0.7765072744080432,0.26145341460870736,134.0,134.0,1.0e-10,12095.274667755666,128.0,128.0,1.0e-10,1.860166941955823,8.658405517334175e-5,1.860166941955823,11549.470604004235,0.5375861581340435,11549.470604004235
63,46,45,1.2143803883393502,0.42542530272494616,0.3352995716101077,0.3352667719518081,0.3356487862473898,3.158706010869466,0.0398199,0.0270865,18.4619715,13.6599773,14.7173505,4.4399282,0.0002497,0.0013162,0.0038956,0.6904387,0.6844547,0.7305434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.77035280548272,-100.55597241714337,-101.34492750275777,-101.43505323387261,-101.43508603353091,-101.43470401923533,-98.61164679461325,0.031745640422217065,0.039476238269334246,0.03947633826933425,1.0000000000287557e-7,0.03965355145539261,0.03965365145539261,1.0000000000287557e-7,0.039758514336890524,0.03975861433689053,1.0000000000287557e-7,0.79644465225546,1.2832786986211913,0.7639016282794892,0.2494182862223806,0.8164936756360114,1.2885316863642888,0.7595569769358365,0.2535033424759675,0.8119238244809318,1.2927912027735482,0.7408212629730282,0.2568036039762289,146.0,146.0,1.0e-10,9791.993527262362,174.0,174.0,1.0e-10,1.163401511978723,0.0011166691035863956,1.163401511978723,895.5204337508736,0.8595484788246934,895.5204337508737
