n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact,n_fixed_ddgfact_plus,n_fixed_ddgfact_upsilon_bfgs,n_fixed_ddgfact_plus_upsilon_bfgs,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,21,21,0.4078780345937645,0.23463041680561503,0.07770596574989952,6.754871004153252,0.1024658,0.0480973,361.2281514,1.233295,0.0003663,0.0,7.0,0.0,0.0,-42.12004464818821,-41.71216661359445,-41.8854142313826,-42.04233868243831,-35.36517364403496,0.031745640422217065,0.04813384925552944,0.04813394925552944,1.0000000000287557e-7,0.682167062957147,2.1300934636935427,2.1386250549628967
63,22,22,0.4080373920684863,0.2254489076404269,0.07229923938079708,6.650781224783977,0.0967414,0.0580577,374.2589383,1.2082086,0.000611,0.0,7.0,0.0,0.0,-44.403897520001024,-43.99586012793254,-44.1784486123606,-44.33159828062023,-37.75311629521705,0.031745640422217065,0.04774003739008362,0.04774013739008362,1.0000000000287557e-7,0.67418917845825,2.3532686423186404,2.1631022392069776
63,23,23,0.425588086600186,0.23564013922558047,0.08395575021301482,6.558990899862984,0.0935358,0.0653745,239.4268656,1.4929136,0.0001609,0.0,7.0,0.0,0.0,-46.723126409814306,-46.29753832321412,-46.487486270588725,-46.63917065960129,-40.16413550995132,0.031745640422217065,0.04732804621732796,0.04732814621732796,1.0000000000287557e-7,0.6672705397441975,2.269214085597439,2.151364394929281
63,24,24,0.447531429806439,0.2500459233595649,0.10100005184076366,6.464896323727984,0.0903341,0.067515,216.6188671,1.5223564,0.0003076,0.0,7.0,0.0,0.0,-49.061758684047035,-48.614227254240596,-48.81171276068747,-48.96075863220627,-42.59686236031905,0.031745640422217065,0.04736129194152727,0.047361391941527275,1.0000000000287557e-7,0.6884322939755247,2.2870056591726557,2.102856033256096
63,25,25,0.4493485630717089,0.2485090611242171,0.10094998432365543,6.359558781564829,0.1616351,0.0665549,160.0521378,1.8016746,0.0004084,0.0,7.0,0.0,0.0,-51.40229689471443,-50.95294833164272,-51.153787833590215,-51.30134691039078,-45.0427381131496,0.031745640422217065,0.046642444587424045,0.04664254458742405,1.0000000000287557e-7,0.7334089919442741,2.302211491471468,1.8485964806654245
63,26,26,0.4386022530589173,0.23509468304283132,0.08290214922865147,6.2466352225177175,0.1149646,0.0658658,291.3365078,1.504793,0.0005545,0.0,7.0,0.0,0.0,-53.74716372189391,-53.308561468834995,-53.51206903885108,-53.66426157266526,-47.500528499376195,0.031745640422217065,0.046070147168197566,0.04607024716819757,1.0000000000287557e-7,0.6907093229228,2.3014121095874924,1.945165792868356
63,27,27,0.44538402383119546,0.23889194017678506,0.08478975853167015,6.14981456669252,0.1277203,0.0566646,382.661523,1.8166833,0.0002987,0.0,7.0,0.0,0.0,-56.126061537380124,-55.68067751354893,-55.88716959720334,-56.041271778848454,-49.976246970687605,0.031745640422217065,0.04594289323934285,0.04594299323934285,1.0000000000287557e-7,0.7059440240964535,2.3049115590162037,1.9233742054256258
63,28,28,0.44918391860833395,0.23695061515667248,0.08799897757915431,6.056801366913703,0.1396301,0.0643509,190.5489496,2.410808,0.0002376,0.0,7.0,0.0,0.0,-58.518455181195684,-58.06927126258735,-58.28150456603901,-58.43045620361653,-52.46165381428198,0.031745640422217065,0.04588785681655219,0.045887956816552194,1.0000000000287557e-7,0.719452080423985,2.3093744421293247,1.7676172634650629
63,29,29,0.4495000118689205,0.23000582051742668,0.08858758402596578,5.951109883607735,0.1105981,0.0601675,204.4919717,2.7458606,0.0006176,0.0,7.0,0.0,0.0,-60.92274391015723,-60.47324389828831,-60.6927380896398,-60.834156326131264,-54.971634026549495,0.031745640422217065,0.04503263205412634,0.04503273205412634,1.0000000000287557e-7,0.7435419314480362,2.271424533270243,1.6558934151153346
63,30,30,0.4497717597225517,0.22180638673041386,0.08643447280331173,5.850561836189229,0.1134401,0.0804787,248.0518591,2.6732763,0.0001409,0.0,7.0,0.0,0.0,-63.3431428952369,-62.89337113551435,-63.12133650850649,-63.25670842243359,-57.49258105904767,0.031745640422217065,0.04370256320389003,0.04370266320389003,1.0000000000287557e-7,0.7415510936509012,2.2649305366449366,1.6128081269012633
