n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_runtime
90,64,49,8.547376435835986,6.562769641851844,6.562727096869594,3.922445126303728,0.2421514,0.0792428,181.5923447
90,65,50,8.588639870584132,6.566637120206735,6.566593246013895,3.7898753324877816,0.1741936,0.0720549,184.8894223
90,66,51,8.603245041398111,6.5436534281096215,6.543598545250006,3.62680727574849,0.5799619,0.0674331,170.1442786
90,67,52,8.605145550937038,6.5084103971977925,6.508330037471069,3.459638013621259,0.1558174,0.0680569,147.7520136
90,68,53,8.60804431945445,6.474132424549055,6.474064658859959,3.311609458118994,0.1509139,0.0637981,143.8444008
90,69,54,8.600420353109428,6.430600712379771,6.430540896462162,3.136183942024502,0.2054966,0.0651013,169.4525906
90,70,55,8.588191347348584,6.383243643180435,6.383155430912325,2.951849827013575,0.1954296,0.062081,142.8350201
90,71,56,8.626370304372301,6.386322151573836,6.386240309867617,2.825503175452127,0.1953117,0.0603956,133.449597
90,72,57,8.64200203721407,6.366918387345493,6.366833619347119,2.687219164639714,0.1642866,0.0767205,113.1519387
90,73,58,8.650718770910657,6.3409456116140746,6.34082458133895,2.550758141509789,0.1886784,0.0539175,117.5037736
90,74,59,8.64288625703034,6.297882308298142,6.297800298791742,2.402709075617963,0.1537129,0.0560576,113.2116658
90,75,60,8.625562578154188,6.245033275262756,6.244895983402614,2.2134830306055164,0.1436069,0.0585549,117.5611525
90,76,61,8.616236285896207,6.200274133807625,6.200156582548118,2.0454052253998043,0.1724625,0.0500011,98.6743181
90,77,62,8.602901350548393,6.151032990612862,6.150932750692959,1.8942062320398918,0.2206286,0.0550945,123.381869
90,78,63,8.596951821581172,6.109393440834708,6.109262601340106,1.7639015498443769,0.1452554,0.0560891,112.5854608
90,79,64,8.573917467195827,6.051016527245622,6.050875795268837,1.5974641430116208,0.1619938,0.0529103,93.9161135
90,80,65,8.550923322357505,5.990706755868359,5.990570923979419,1.4500264968667693,0.1811301,0.0581677,85.0586568
90,81,66,8.500075844168805,5.900870681058791,5.900717231340536,1.2759657092562406,0.1455151,0.0489793,28.5748276
90,82,67,8.464076752907317,5.822119523588867,5.821951122376106,1.1083489455087374,0.2647555,0.0461756,7.4924844
90,83,68,8.424792175112543,5.7369432993293685,5.73680867641076,0.9382899595423169,0.1806471,0.043694,13.5980138
90,84,69,8.366648732921647,5.632491756242928,5.632335885488374,0.7553242419253365,0.1205317,0.0407405,7.3012499
90,85,70,8.305597513032637,5.526208371008636,5.526059306862294,0.589171346503008,0.137753,0.057053,5.6856785
90,86,71,8.298990383567457,5.4743759556611735,5.474211275417019,0.4891919239382787,0.1209732,0.0395406,5.333755
90,87,72,8.178034062601057,5.298167395454811,5.297987953951576,0.30849926499206504,0.056847,0.0357076,3.8710476
90,88,73,8.060747150439056,5.125611545865752,5.125409677443315,0.18433907446535613,0.0477452,0.0355278,3.9204601
